,Edifier H650 Hi-Fi On-Ear Headphones - Noise-isolating Foldable and Lightweight Headphone - Fit Adults and Kids - Blue
454,"I got these Edifier headphones for my son. He's in grade school and they use Chromebooks. So of course I got him a Chromebook and these headphones for Christmas. All three (my son, the Chromebook, and these Orange Edifier H650 Cans) look great together. Learning in style!

It's obvious that these headphones were designed to appeal to kids and teens, boy or girl, or anyone else who likes things that sport fun, bright colors. They have an understated coolness factor to them. They're just fun looking; I can't state it any other way. Slap a Disney logo on them along with a Frozen Princess to either side and you've got yourself a million dollar selling item here. They're not a cheap plastic toy, but they are very much toy-like.

They're smaller than I imagined. Again, they seem to be designed mainly for kids in this regard. I thought my pair of JBL cans I bought a few months ago were small, but my JBLs are behemoths compared to these Edifiers. Again, perfect for kids or teens.

Although they are smaller and more compact than regular headphones, these cans have plenty of headband adjustment. I can get them around my big man-melon quite easily. And the smaller-sized cups cover up just enough of my ears to keep out a lot of outside noise - like typing on a keyboard for instance.

I like them, I'll have to admit. They're just neater than heck. And the colors - orange here - look amazing! Fun and vibrant. I couldn't be happier.

Some things to note:
The cable cannot be removed and replaced. So if it ever gets ruined, then the cans are done for.
Although the headphones are small, you can still fold them up into an even more compact state; you can stow them in your overstuffed backpack without much fuss that way.
The ear pads are soft but tough.
The headband does have a bit of padding; it's rubbery instead of cushion-y. It's not much, but it is there.

Let's talk quality of sound: Obviously with such a cheap retail price, audiophiles might as well stop reading right -HERE- and move on to Bose or Sennheiser or whatever else is available because these headphones are not up to snuff. They possess an unbalanced sound profile that leans heavily toward the treble and upper mid-range. BUT, BUT, BUT, with a little help from your iPOD's EQ, they can be evened out quite easily by bumping up the low frequencies. This creates what I would describe as a full, bright, rich sound that brings out the best cymbal crashes and drum hits on any rock track. Vocals really stand out. It's quite startling at first.

If you have the means to boost the bass, then these headphones will surprise you with their lively, raw, unadulterated sound - bright and lively looking to boot! The price can't be beat. Highly Recommended!

Easter Egg: Three dots in Braille means L,,,,or left."
455,"The Edifier H650 Hi-Fi On-Ear Foldable Noise-Isolating Headphone are as depicted in the photos and described in the specifications.
At first blush the headphones look flimsy, made mostly of plastic with a flexible reinforcing bar in between the over-the ear headphones that are padded with fake leather, and a thin cord. The headband is adjustable to fit most size heads. The headphone folds on itself for convenient portability or storage.
But the first impression is deceptive. These are terrific headphones! The sound is crisp and crystal clear, the bass is as good as my Skull Candy Crusher, Bose and Sony (much more expensive) headphones; the highs, lows and mid-ranges are distinct at all volumes.
The Edifier H650 are very lightweight and comfortable to wear for a long time. Very good noise reduction.

In my opinion, the Edifier H650 headphones have very good sound transmission equal to much more expensive name brands. Their durability may be in question, but at their price, it would be nit-picking.

I received a coupon to purchase this item, but with no obligation to write a review. This is not a barter deal. I have no financial or personal connection with the manufacturer, seller or their employees."
456,"They are not ""noise-isolating"" as described."
457," I actually AM surprised at how much I like these. They are very lightweight, I chose the orange color and they are definitely better in person than they are in the pictures on the product page.

They are easily portable because they are so light, and for the price I really wasn't expecting them to sound as clear as they do.

The earpieces have real leather around them, and even though the band is made from plastic, there is a little wire metal band in them for stability. But they are foldable, and easy to carry.

I like them and would definitely recommend them. Especially for the price and the quality that you get.

Promotional or discounted product provided to review."
458,I have a pair of cheaper head phones that is much better than these for noise reduction. Also the head strap is too short. Will not buy again.
459,It came with a short in the cable
460,Works good. Fits a small head.
461,Excellent for the price. Comfortable and great sound.
462,"Great product, they were for a 12 year old so they worked great but for an adult they would be alittle small."
463,"These headphones performed as advertised . . . excellent sound, very good ambient noise control, and a quality look and feel.
I consider the Edifier H650 to be an excellent value."
464,too small. ONLY for children. doesn't get very loud either.
465,"Good to use, attractive color!"
466,I Love The Lightweight Headphones :) :) :) :)
467,"These headphones were delivered in a short period of time, did not break the bank and have great sound quality!"
468,Very happy with the headphones. It is a gift so hopefully he will like it also.
469,"It was what I expected, for the price you can not beat it. Eli from boca raton Fl."
470,"Couldn't use with my ipad.
The earphones were comfortable"
471,Sounds great. Nice OREGON STATE orange
472,"These headphones are very good quality, especially for the price."
473,good sound for the price
474,"These are a Christmas gift for my husband, so they haven't been opened yet. Will have to submit another review once he has tried them."
475,"I have worked with a lot of headphones and I have seen a lot of variety amongst them in terms of quality, comfort, features and sound profile. Edifier is a new name to me; I have worked with many different headphones from numerous manufacturers but I had never heard of Edifier until I was asked to consider trying these for a review. My overall impression of these headphones is good. That said, there is a weakness in the sound profile that merits mention.

These are very lightweight, on-ear headphones. I personally prefer over-the-ear headphones but that's a preference based on comfort and fit. For on-ear phones these are actually comfortable and they fit nicely and do not make my ears hurt. If more on-ear phones were like these, I would be a lot more open to them. That said, I still prefer over-the-ear phones.

These are listed as noise isolating headphones (also known as passive noise canceling) and I was surprised to see that they indeed do block out a fair amount of ambient sound. These are a far cry from ANC phones like Bose but that's not the point with these. That they do such a good job of blocking out noise and are on-ear phones says a lot.

These are made well and appear solid. The one weak spot is the cable which is permanently attached and is insulated in a plastic coating. If any part of these phones is going to fail, it likely will be the cord. That said, I would not base my evaluation of these solely on the cable.

The most important aspect of a set of phones is the sound profile. Here is the one area where these could be improved. The highs are strong and clear and you can hear plenty of detail. The midrange is good and the music has the right depth. Where these come up short is actually the bass which is weaker than I would like. I do not like the heavy, driving bass that is the current trend, so the absence of bass really catches my attention. With an equalizer I can get the bass strong enough, but I do not always have an equalizer (even a software based equalizer) at my disposal. So, this tells me these excel at podcasts and non-music listening.

These are good headphones, for certain purposes. They are very comfortable – more so than most on-ear phones I have used – and they sound decent for spoken broadcasts like podcasts, lectures and the like. The bass is a soft spot, but otherwise these are good and are worth their asking price.

Disclosure: I was provided a sample of this product in exchange for a fair, honest and thorough review. Even though I received this product at no cost I have rated and reviewed this product without bias, based solely on my experience with it."
476,"I have a few pair of in ear headphones, and while those are great.. Sometimes you just want to cancel all noise out instead of just adding it in. These headphones are absolutely perfect for that. I have pretty small ears so much headphones usually completely envelop my ears and feel very heavy on my head, I do not have that problem at all with these. They are completely lightweight and I can barely feel them resting on top of my head, and the earpiece is just big enough so that I can hear just my music and nothing else without being too big and sliding off. Not to mention the material surrounding the earpiece is very soft and comfortable. For storage purposes these headphones can fold into themselves so that they can be put away without getting hung up on anything and needing too much space. I actually think that the ear pieces are small enough that they’ll fit my son as well rather than having to pay an arm and a leg for a kids pair. As for sound quality, I have no complaints. The sounds was crisp and clear without any distortion and the bass was right where it should be. My only problem is that my son keeps trying to take them… I received this product at a discount in exchange for my honest and unbiased review."
477," A great entry model of headphones for those simply looking for a solution to get sound from that isn't going to sound bad or cause any discomfort. Great for young kids or anyone looking to avoid spending too much. You have multiple colors to choose from and the colors are really bright (if that's what you're into). They offer a basic level of sound and even a little bit of bass. If you are looking for more than that though, you would be interested in looking into one of their more expensive models.

As mentioned, bass levels are minimal but present unlike most headphones at this price. Typically, you find that you need to spend closer to $40-50 before you start hearing a decent enough bass presence for it to be noticeable. The H650's do offer that decent enough bass presence, so you can hear more out of your music than just a tinny pair of entry phones that you'd expect.

Mids and highs are also average but present. They aren't horribly tinny or muffled or anything, you just won't experience incredible crisp highs and deep lows. For that, again, you will have to spend a little more money for a better model from Edifier--which they have plenty to choose from."
478,"These headphones are super! Over the years I've used an abundance of headphones, ear buds and so forth. So why do I like these so much? Excellent fidelity. Sharp looking. Great fit on my head. on-the-ear fit is perfect. They fold up for easy carry and storage. No complaints and no suggestions on this excellent equipment! No, I don't work for the company. Don't know anyone who does. This is just me shooting from the hip."
479,"I returned these headphones because they are too small. I got a headache almost immediately from the pressure on my ears. I do wear a size 7 3/8 man's hat, so maybe petite women would not have this issue. I appreciate Amazon's return policy, including free shipping."
480,"Headphones are pretty important here in our family. We use them to block out noises so we can concentrate on the task at hand. I am in love with my new Edifier Headphones. The version I have is H650, they are perfect for traveling!

I am sitting here with a pair on my head listening to my radio app and just loving the sounds that is coming through. The bass sounds incredible. I mean, I am listening to Mama, :""I'm Coming Home"" from Ozzy, and the bass and treble are just amazing. I am really blown away by it.

I have the blue pair, and I am just so impressed with how bright the color is, how comfortable they are on my ears, how the sound quality is, and even the length of the thin cord is nice. I received a pair for free for review."
481,"These are small headphones and they have a pretty good tension on them, which makes them a little on the tight side. I knocked a star off because of that. The ear cups are also small. Other than those issues, I found them well made and they seem to be durable. I've sat on them a couple of times and they survived. The weight is pretty good for an over the head construct. Some of those kind are really heavy, but these aren't. The sound is good, too. I paid $50 for a pair of headphones that have comparable sound to these. I am very picky about headphones as I wear them for hours on end on a daily basis for work and entertainment, so it really is unfortunate the above issues exist. They really should be sold as children's headphones."
482,I expected more
483,"This are good, but be aware that the earpads are actually not as large as I expected. They maybe barely cover my adult ear, as opposed to the larger size I was expecting. I guess maybe this is why they are advertised as for children and adults. Also, they seem to leak more sound then the earphones I had previously...other people can hear something at lower sound volumes than a headset I had previously. However, all in all, these are decent for use at the gym, so I am happy with them. They also shipped quickly!"
484,"Edifier’s H650 over the ear headphones provide really good quality sound with nice coverage of midrange tones, with a decent amount of base. The round ear pads are a little small, so they need to be properly positioned to block ambient sounds, and get the best results.

These lightweight phones are currently available in white, blue, orange, pink, and black, and would be fine for most styles of music from metal to classical, and also for audio books and podcasts.

The H650 has some adjustability, and is generally comfortable to wear. While the quality of the audio is very pleasing, I have some concerns about the durability of the four foot long cord, which is very thin, and doesn’t seem to have much strain relief at the connection points. I prefer an L shaped audio connector for its durability, however these headphones have a straight pin audio jack.

A sample was provided to me for evaluation. I had never heard of Edifier prior to being contacted about them, but I have since learned that the company does produce some very good quality electronics. The H650 gets high marks for sound quality, and the colors are visually pleasing, however a little extra care may be required to insure that they last."
485,"No audiophile, but I listen to lots of music and particularly as a runner and these are an excellent choice at an excellent price. Very good product. I have never been able to find ear buds that work as well while running and the extra weight, hardly, and larger profile are not a problem for me and I train pretty hard doing different running workouts, intervals, tempos and long runs and find these work the best for me out of all the choices."
486,Very disappointed. Wanted a pair of earphones for travel that were not too expensive in case of loss but better sound than earbuds. Felt very small on my ears and uncomfortable. Also after I plugged it into the airplane armrest the end broke off when I pulled it out. Wanted to return them but I missed the window. I gave them one star for how they fold in for easy storage which is another point I was looking for.
487,"These over the ear headphones are SO comfortable, and I can’t emphasize that enough. You can listen to music, podcasts, movies, or whatever is your cup of tea for hours and they will be super comfortable without them bothering your ears. Not only are they comfortable over your ears, they are comfortable on your head too.
Obviously the sound of headphones is very important when purchasing a set. I’ll tell you these sound great. There’s no crackling of any kind, you can hear all the sounds in music very clearly, as well as bass, and other instruments within the music. They sound crystal clear in my opinion. They have two 40mm high-fidelity driver units that reproduce sound with crisp highs and deep lows. The other thing I really like is it muffles outside sounds, so you don’t hear what’s going on around you, just what’s playing in your ear through the headphones themselves.
Before I received these I didn’t actually realize how compact these folded down to. Being a blogger I travel a lot. Not only to events, but as a family we travel a lot and I work while we are away. A headphone set that’s big and bulky just isn’t easy to throw in my laptop bag, so when I received the Edifier H650 headphones and folded them down, I was SO impressed. They didn't take up much room at all!
The Edifier H650 Headphones are a product that I would most definitely recommend purchasing. These have been used daily in the past week that I have received them, whether it was my 7 year old playing on her iPad or me through my smartphone or my computer to listen to music.

*I received these products for free or at a discount in exchange for my honest and unbiased opinion."
488,"These are sturdy, comfortable headphones with the sound quality that you would expect in a more expensive product. The two teens who tested them for me loved the sound quality and the comfort of the heavily padded ear-pieces. They also liked the fact that there's a wire out of only one ear-piece. Much less likely to strangle your self on one cord than a double one. The plug is gold-plated and makes a good connection when you plug it into a tablet, computer, or MP3 player.

The headband is adjustable, which allows both for the differences in head sizes and for types of hair styles. The padding on the ear-pieces does a great job of noise cancellation. One of the girls has used these with her school-issued MacBook Air and was able to study even on a crowded, loud school bus. They work just as well with Android devices.

So they have a lot going for them and we didn't pick them because they're purple, but that WAS a definite plus. Now the purple color is no longer available. It's pretty in the pink and other colors, but the purple is lovely. Hope they reinstate it.

These are great headphones for teens because they offer comfort, adjustment, sturdiness, and good sound quality - all for a reasonable price. I personally wouldn't send a kid off to school with an expensive set of ear-phones. Too risky. At this price, their loss wouldn't be a tragedy from which I would never recover.

Free sample provided for review."
489,"The build quality is nice and looks OK.

However, don't expect much from audio quality.
The ear cushions are quite hard and not so comfortable.

I'm using it for several hours and they're OK, but if you're plan to use them for long time, you better choose another.

BTW - the ear pads are small for an adult.
I'll say it mostly for kids."
490,"I was shocked and amazed at what a difference these headphones make to my overall happiness: I truly look forward to exercising now
that I can hear subtle parts of music I have been listening to for years, that were inaudible using the earplugs that came with my ipod.
All I had to do was adjust these headphones ONCE to fit around my head, and not once have I even been bothered by them while I exercise.
Thank you so much for producing a product that has enriched my lifestyle. The sound quality is fantastic. Music is a major part of my life.
However, in recognition of the reviewers that said $400 headphones are so much better, I will admit that my hearing is imperfect due to years of acoustic abuse from rock and roll."
491,"Poor fit, poor sound. Better priced at $5"
492,"Really great sound for a fraction of the price! My son recently broke his headphone and has been asking for a few weeks for new ones so I was excited to try these out especially for the price! They really sound great, very crisp and clear and sound just as good if not better than other big box brands AND these fold up for easy packing or storing which to me is a plus especially since this is how my son broke his. They come in many different colors and have an expandable band for bigger or smaller heads. AUX cord is plenty long for easy hookup to your phone, radio, game system etc. They also have a leather cushion to block out any noise around you, my son couldn't hear much around him with them on so they definitely blocked out the noise around him. I got these in white & silver and they neat headphones. Definitely a good buy, for a budget seeker looking for high quality ear phones at an affordable price.

I received this item for an honest and unbiased review, and I was very grateful as they are awesome!"
493,"I got the cute orange and I love the color. I also like how lightweight they are and don't weigh down on my head like some of the bulky headphones my husband owns. They feel comfortable enough around my ears. I've had them for a couple of months and used them regularly. The plastic seems to be holding up well.

I received these complimentary in exchange for my unbiased review and opinion. All opinions and words are my own.
I was not required to give a positive review nor was I compensated to write this. This is my honest feedback after using the product."
494,"I literally went to sleep with these on while some music was playing and i woke up and was like ""Wait, i had these on?"". I felt no clamp or unfomfort at all. The sound is good, not as good as my pc cans superlux hd668b BUT i use these edifiers to go to uni while taking the long ass busride so, for those purposes id say they sound 80% as good as the superlux i mentioned.

For the price you cant go wrong at all, these are a must pick. 25$ dude, nothing can beat it for the price"
495,I really hate earbuds...ordered these earphones for my Kindle Fire HD...they are comfortable and the sound is clear...earpieces are soft and the color is cheerful...love them
496,"These Headphones were purchased for me by my husband. At first, I was concerned because they are smaller than what I had before. I have used them only a couple of times. They are comfortable. The sound is clear. I will use them mostly for airplane travel. They are good quality also. Enjoy!"
497,"Color me impressed. I pulled these headphones out of their plastic packaging, and thought, ""Look's flimsy"". The headband has no padding. The cord is smaller than anything I've seen on a headphone before. Actually, the cord is about the width of earphone cords. However, it's much shorter and thinner than my high priced headphones. So I concluded these were overpriced, cheaply made headphones. Then I put them on, turned on some Tame Impala, and.........BAM!

Apparently they spent all their money when designing these headphones, on the drivers. Its a 40mm neodymium magnet driver, which really pushes out the sound. I'm surprised, because they sound as good as my hundred dollar headphones, which is NOT what I expected at all. As for the headphone design, these are very comfortable to wear. Since they are so light, you don't even need the padding on the head band. The cushioning around the earpiece is comfortable, reinforces the bass, as well as provides sound isolation. Add in the cool, stylish colors they come in, and you have a some excellent headphones. Also, since they're foldable earpieces, you can fold them up, stick them in your backpack pocket, without wasting a bit of space. (Try that with the big cans of expensive headphones.) So if you prefer headphones to earphones, and need something to wear while you run around with your MP3 player or smart phone, I'm sure you'll like these. I'm still knocked out by the sound. Every type of music I played on these, sounded great. The bass is deep, and precise. The midrange is full, and clear. The highs are crisp, and clean. Best of all, they're so inexpensive, you can get a bunch of colors to match your wardrobe. (or not. I got the black headphones, coz black goes with everything. Plus, they look goth.)

I was provided a free pair of headphones in exchange for a fair and honest review."
498,"Surprise. We like these so much more than we thought we would. Honestly when they arrived my teenage son was like those got no swag. But they are comfortable and have great sound. They can be folded if you need to throw them in a backpack or bag. Easily adjust to fit different sized heads.
Sample received in exchange for an honest review."
499,"Music is my life. I love all types of music and listening to it for more hours than I am willing to admit. The thing is being hearing impaired, and liking to fall asleep commonly with headphones on means a picky consumer looking for something specific which means high standards.

Comfort is a big deal to me, There is no padding at the top of these headphones and the ear pads are thin and appear to rub. The outer rim is made out of thin cheap plastic, so although it is colored it is not a rich deep quality color. The cord is probably the only decent part of this product, but it is a standard type of cord many headphones of this type seem to use.

The sound is not crystal clear or loud. For someone that is hearing impaired, on the loudest volume I could not hear what other headphones could do at half volume. Again, since I am hearing impaired my perspective of sound and volume might not be similar as the average population.

I received this for free or at a discount in exchange for an honest review. I test and scrutinize products I review to the best of my ability, in order to help you make an informed decision. My loyalty is to fellow buyers above all, so I post reviews for all products received for free or at a discount, even if they are less than positive. If anything should change in my opinion of the product, I will update it so that you have the most up to date information. Please feel free to ask any questions."
500,"I received this product for free to offer an unbiased review.
these headphones are great
they are comfy
sound quality is pretty good
great for a kid"
501,"This product is what it is a cheap headphone. It was very tight and felt like a head clamp, but after extreme stretching it is a little more bearable. The round ear pads are small for any adult and become uncomfortable very quickly. As far as sound quality, again it is what it is an inexpensive headphone. Might be great for kids, but not anyone expecting a quality headphone. You get what you pay for here"
502,"I bought this for my husband. His comments are: Good sound, very comfortable. Used them the day after received at the gym and am very pleased. No slipping while on the elliptical or treadmill. Excellent headphones for the very reasonable price. Happy to recommend."
503,"I do not own these, but have listened closely on a friend s pair. There are a number of reviews that are essentially paid for by receipt of product free. Many of these also have many people saying the review was helpful. I find that suspicious. I listen to a lot of music, all kinds, on a wide array of equipment. This includes phones from a couple thousand to earbuds. Before you clnk down some change, listen to a $250 or of phones, then compare several brands in this products price range. Tastes vary, but I think you'll see that these reviews are nothing more than advertising hype. Also, they don't give any specs. Do a comparison with similarly priced products. Taking these steps will give you a more valid eval than the paid for with product reviews. Shame on Amazon for letting this crap go on."
504,I ordered these for my Nephew who is away at college. These will be Great to help with noise in the dorm. He said they are Perfect!
505,"They do not completely block airplane sounds, but for the price, they do great job."
506,"I bought this headphones for my son and he absolutely loves them. They are perfect for him. Super light but also durable. The colors are very bright, just like the photo. I know the sound works because I have to tell him to turn the volume down because even I can hear through them! Great product!

I received this item at a discount in exchange for my honest review, however the discount did not influence my review."
507,"CHEAP product! Ordered these for my daughter for Christmas. Well, today is Jan. 2 and maybe she has used them half a dozen times and one of the ear pieces quit working. I didn't hear back from the seller but Amazon offered to refund me the cost if I ordered another one. I begrudgingly did but also got the two year protection. We'll see what happens."
508,"Sounds quality is pretty good, seems like they will work for just listening to videos and news at the computer for my grandpa. Noise cancelling feature isn't very noise cancelling probably do to the small earcup size but overall for 20 bucks not bad"
509,These headphones are the best I have ever used. They are very comfortable and light. I took the time to wear them for almost 8 hours and I was very pleased with the way fit and performed. I am very sensitive to anything in or on my ears. I am highly satisfied. Thank You!
510,"I am most pleased with these headphones. I have a small head but they adjust to fit me quite well. The sound is remarkable and they do block out other sounds very well! These also fold up. I would buy these again if I needed another pair, I truly love listening to my books on these headphones!"
511,My 9 year old daughter loves these - she says that they fit her perfectly and don't move at all!
512,Just used these for the first time on a long haul flight. Quality so far is great for a value positioned product. Overall experience from order to use has been fantastic.
513,I'm. It sure how they are since they were a gift and sent directly to the person. No gift options were available to choose when ordering.
514,"Small, light weight, comfortable with very good sound. These headphones are a great buy."
515,"I purcahsed these for my nephew he loves his music and sports He love showing off his socks on the field or court, this was a perfect gift."
516,"Great Headphones, lightweight and very clear! Love the sound and can barely tell I am even wearing them as they are so light!"
517,They work great.
518,like the compact size and comfort
519,As expected
520,"Fantastic. For the past 5 years , I have been searching for the make up miracle to hide the dark deep circles under my eyes. It works perfectly and only takes a pin size drop to cover."
