,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint)
3,"The bottom line first: I would not buy these again.

Broke in three months, after very light use. Bought them in January, tried to return them in March, but they are no longer returnable.

Used them for a few business calls on skype and to listen to music on the phone. The microphone still works (people can hear me on skype) but there is no sound coming out of the speakers. I've bought lots of headphones, expensive and inexpensive, and these have been by far the least-lasting.

In terms of the design - my hair gets caught in the adjusting mechanism and I've lost a few strands that way. Other designs adjust higher up which don't pull my hair.

Review updated on June 3 2017 - Alihen sent me a new pair. Change from 1 star to 4 for excellent customer service. I still think there are better designs out there."
4,"So packaging first.. The AILIHEN C8 Headphones came in a nice looking retail display package, which surprised me. Based on the price, I was assuming that they would arrive in a plain cardboard box or inside of a plastic bag.

I excitedly opened up the box and checked the headphones out. The headphones seemed to be made to a decent quality. They fit on my head well and adjust easily. The earphones indeed have a decent amount of cushioning on them. The cord measures approximately 5 foot in length, which was long enough to put my iPhone inside of my pant pocket. I then plugged the headphones into my iPhone; the sound quality was rather good. I really did not expect the headphones to sound satisfactory at all, but they actually sound as good as my last way pair that was way more expensive. The cord has almost like a shoelace texture to it, and feels less likely to tangle up than a standard rubber cord. They have a microphone that I haven’t tested yet so can’t comment on that. They also have a volume control, which I have used and can say that it worked on my iPhone 5s. The headphones stayed put on my head comfortably as I roamed the house doing my chores.

My Final Verdict : I was simply looking for an inexpensive pair of headphones to wear while watching tv or to listen to music on my iPhone. I’m so glad that I found these AILIHEN C8 Headphones, which look pretty similar to beats headphones at just a fraction of the price. Now I really wasn’t expecting much from these headphones, but they actually impressed me considering the price. Awesome deal considering the price!

**Disclaimer: I received this product for free or at a discounted price in exchange for my honest and unbiased review, but my thoughts are completely genuine and 100% my own. I have personally used this product and tried my best to reflect my experience with the product so you can make a more informed purchasing decision.**"
5,"Used this bag for 3 days. 2 three subject notebooks, 4 single subject books and one pencil pouch. The top handle is already tearing apart. The sides are not sewn together well, coming apart at seams. Not happy at all!!!"
6,"The sound quality was awesome . I got this headset set for one of my little nephews . Theres 3 of them ( all brothers ) and they love playing video games . But when you play online you need a microphone in order to be able to communicate with other players to be able to accomplish the missions and tasks ,etc. Well they only had the regular little headphones that go in your ear before and couldn't communicate with anyone so they kept getting frustrated. Thats where i came in . I came across this headset on amazon and knew i just had to get some for them. I ordered a few different kinds but must admit that the lime green ones were the coolest ones i ordered. It was simple enough for them to be able to figure out how to use the mic . And they fold compactly so they don't take up much space. The cord was well made and made with a braided fabric material over the cord so its very durable and it was very long a lot longer than i had expected it to be . They are very good quality considering that you get them for an awesome price. Well worth the price in my opinion. Theres a lot of cushion around the ears and they cancel out excess noise well. Theres also a small about 1/2 in strip of soft material as cushion for the head to make them more comfortable for wearing them for hours at a time .They look much better in person and shine alot . My camera couldn't seem to capture that aspect of them. Sorry about that. I received this product at a discount in exchange for my honest review. It did not in anyway change my opinion on the product. This is simply my own personal experience while testing out the product. This discount does not affect whether or not i give a good or bad review in any way . I have gotten free items in the past and still given bad reviews because thats how i honestly felt about a product."
7,"Comfort: 5/5
These headphones are comfy to wear, block out a lot of outside sounds, and don't overheat your ears. I wore them for hours on end, listening to jazz while reading on the beach.

Controls: 3/5
This headset has a mechanical slider for volume control. To my surprise, it never got accidentally nudged all week. It's stiff enough not to shift just from moving around. I can't say what happens if you take these jogging, but when I mow the lawn next weekend, I'll see if that causes the slider to shift. It doesn't adjust the volume on my phone - just the headset. That has its pros and cons, but mostly cons.

Sound Quality: 2.5/5
The sound is a bit tinny, and there's not a lot of bass. It's noticeably low-end. By contrast, I used it for audiobooks, and the mid-range clarity was very good. Also, the cushions isolate the sound very well, so you get less outside interference. That's a pro. If your top priority is sound quality, go with something pricier / higher end.

Appearance: 5/5
These look pretty slick. I'm not a fashion guru, but I like the look.

Convenience/Folding: 5/5
I have 3 sets of folding headphones, and these are the best. They don't fold super small (not like jeans pocket small) but you could stow them in a large purse, or in my case, a beach bag, easily. They are quick and easy to fold, unlike the Skullcandy ones I have.

Durability: 5/5
These stood up to high winds, sand, and wet hair pretty well. They were kicked around by a toddler, baby, and preschooler. They were shoved in an over-packed car twice and made it out alive. They took a beating and were unfazed. They FEEL pretty tough, too.

I received this product at a discount in exchange for an honest review. I spent a week testing them at the beach in the outer banks, just to report back on them."
8,"I purchased the black/orange version of these headphones as a surprise gift for my young adult daughter. I knew she was in need of new ear buds or headphones and because this set also features a microphone and can answer phone calls I knew she would really appreciate it. I was right! She absolutely loves these headphones! The sound quality and clarity when making or taking phone calls is actually pretty impressive.

These have a really sleek, modern design. The cable is braided and seems to be of high quality. I actually purchased a similar set of headphones around this same price point for my son at the same time as I purchased these, the only difference being that his doesn't feature the microphone and volume control. After trying them both, this pair of headphones definitely edges out the other we purchased in comfort and overall sound quality. These also do a better job of blocking outside noise. I appreciate that they fold up nicely, which is great for transporting, packing, and on-the-go.

Overall, this is a pretty great little set of headphones. Audio quality is impressive and they are super comfortable. My son always needs to ""give his ears a break"" after wearing his similar headphones for a couple of hours, but my daughter doesn't with these as the fit and padding is better.

Like you, I rely on reviews when selecting products to purchase. As a product tester, I received this item at a discounted price in exchange for providing an honest review, but this review is based solely on the merits of this product itself; any discount I may have received has no bearing on my assessment and evaluation of it."
9,"AILIHEN C8 lightweight foldable headphones. they are package in a gray box with a clear front to display these very cool looking neon green headphones along with the manufacturer name and detailed specifications clearly written on the box. Inside the box are a nice looking pair of headphones. I received the neon green ones .What I like a lot about these headphones is one wire controls both speakers and the wire is braided so it’s less likely to tangle up .The speakers are adjustable to about 1 ½ inches and have a thick padding to cover your ears The headphones have a rotating and folding design which makes storing or carrying around a little easier.These headphones deliver a clear hifi sound with a strong bass and block out noise that's around you, I personally listen to hard rock and rap music and the bass delivers to my standards and for my obligation to test and write a honest review I listened to some classical and easy listening music and you can hear every instrument clear and precise .Finally I plugged into my computer tower to play some games and the headphones did not disappoint me, the AILIHEN C8 stereo headphones sound very good with the volume on low or turned up. I was very impressed and plan to purchase a pair for my daughter. My final though is, these headphones are average size but comfortable and they are collapsiblie with a single nylon wire which I like, and for around $20.00 you are getting a good deal ."
0,"These AILIHEN C8 headphones can play your music LOUD! I found myself quickly turning the sound on my computer down from where I normally have it when using my ear buds.

The padding is very nice, and the fit on my head is snug. I personally would like it to be looser, I want to feel like there is nothing on my head, but I may be asking for too much there. The snug fit allows this set to work for children as young as a tween, up to men with moderate sized heads. They do stretch quiet wide if needed, but the length might of how far the ear pieces come down may not work for a very large head. On my head, which I hope is moderate, it fits fine and snugly and still has a small amount of slide left in how much lower the ear piece could go down.

Really everything about these headphones, aside from wanting them looser, is just awesome. I hope it helps you decide if these are what you are looking for.

**Always take note of WHY a person liked or disliked a product, rather than going off the star system alone - Many products can be used with different intentions, and the way you intend to use it or what you need it to accomplish may not be what the person reviewing it used and rated it for. **

If this review was helpful to you, please click on the YES button. This will make it easier for others to find the review so that they may be helped as well.

I received this item for little or no cost in exchange for my opinion. I am in no way required or influenced by the seller to leave positive remarks."
1,"This review is for the Headphones,AILIHEN C8 Lightweight Foldable Headphones with Microphone and Volume Control for iPhone,iPad,iPod,Android Smartphones,PC,Laptop,Mac,Tablet,Headphone Headset for Music Gaming(Grey/Green)

We have 6 people in the house who use earphones frequently. I ordered this pair for one of my sons since his favorite color is green and it makes it easy to color code belongings. They have a good sound quality and feel comfortable on the head. They are not the type that go completely over the ear but they are well padded. The set has some nice deep tones and have been working well. No complaints.

Current Amazon Prime is just under $20 which is typical for a decent set of headphones on Amazon

I will be up;loading a couple of photos for you.

If you have any questions pertaining to this product, feel free to post them.
I will do my best to answer them in a timely manner.

I was chosen to receive this item at a reduced price/free for consumer testing and Amazon consumer product reviewing. I gave this review to assist in making informed buying decisions.
I received no other compensation and have no personal relationship with the seller. Reviewing is for the consumer based on price asked and product as advertised, not to advertise / protect sub par products or sellers and my reviews as a whole clearly show this is my goal. Disclosure in accordance with FTC 16 CFR, Part 255: Guides Concerning the Use of Endorsements and Testimonials in Advertising.

Have a nice day and happy shopping -

AZSophie"
2,"***EDITED*** One side stopped producing sound not long after I posted my original review.....

I will update this review should I experience any problems. I am pleased with these overall so far. That being said, I am only using them to listen to shows I watch on my Kindle Fire. So as far as actual sound quality goes, I can't really attest to that. The one con that I did notice immediately that could be a huge issue for some people is that these headphones are not at all adjustable. Originally, I thought my 7 y/o might be able to use them with the school's iPad, but they'd be too big to stay on her head. I do notice less sound coming from the right side, but I've noticed that with other headphones as well, and am unsure if they're supposed to be that way or if I have a hearing problem. I really like how these headphones fold up when not in use; however, they are still bulky. I don't expect them to last for very long as it is obvious they are of a cheaper quality. I do feel that the listed price for these headphones is too high. I don't think they should cost more than $10. They also don't come with instructions, but they arrive boxed up very well."
3,"I really love these headphones! I've been using them every night for about two months now and they are perfect for my needs.

I listen to ASMR videos on YouTube every night as I'm falling asleep so trust me when I say they are super comfortable. More than half the time, I wake up listening to nothing but leave the headphones on because it's comforting to me. I know that's a tad weird but hey, whatever works right? The padding on the ears is great and I wipe them down with just a tad of Purell once a week just to keep them nice a clean.

The sound is great and I like that I can adjust them on the headphones themselves as well as whatever device I'm using. I have the headphones turned all the way up and then adjust the volume on my device. I've used these while on the phone with my husband and he says my voice is more clear when using the microphone on these headphones.

I didn't pay attention when I purchased these so I was happily surprised when I saw that it had a braided cord! My old head phones got trashed because the wires and little bits of fuzz were starting to poke out of the cord. This won't happen with these!!

I ordered the grey and teal color. The color is beautiful and just as pictured. They are super cute!

When my hair is up in a bun I can extend them a bit and they still fit great. I wouldn't say this size is for toddlers but older kids maybe 10 and up will have no problem wearing them.

The folding feature is cool and will come in handy for a big move we have coming up. When folded they fit nicely in the car door or even my purse.

When my husband came home he liked mine so much I ordered him his own pair!!

I definitely recommend this headphones and have already purchased two pairs now. I think these would make a great gift for a music lover or really anyone who prefers the classic over the ear style headphones."
4,"Got it yesterday and so far I love them! I originally ordered them because I have a crap pair that hurt my ears when I want to watch with my noisey family around, but this pair is more than I expected. First, they got here fast. Secondly, the sound is so good and the ear parts don't hurt my ears after several shows on Netflix. Thirdly, They're cool as heck. The fold up feature is awesome, the texture of the cord is like a shoelace, the volume part on the cord actually controls the volume while watching (unlike my crap pair), and they seem durable like they will last! 10/10 so far, good job with this one."
5,First off I love the color orange so 1 point right off the bat. ALIHEN folding stereo headset headphones work wonders when you want the full head phone experience on the go. I ordered these specifically because I seen that they were a folding headset and there were many times that I wanted to take my larger headphones with me where I was going but decided against it because they were too bulky to carry around. The ones I ordered were in blue and I was very happy with the design and look of the headphones. They seems to be well made and not cheap and easily breakable which I was happy with. They are partially plastic and partially metal and it gives them a very cool look. One thing that really impressed me was the fact that the cord was very strong and had a cloth covering over it instead of the normal plastic or rubber coating. This makes them much more durable and I like that because I am very rough with the things I use. The sound is awesome there is complaints about that and the microphone also works just as well. Overall I couldn't find 1 bad thing about these so I gave it a 5 out 5 . Disclaimer: I purchased these orange headphones with a promotional voucher for a fair and unbiased opinion. Everything expressed in this review is based off my experience using the product.
6,"I bought the headphones for my daughter's birthday and she really likes them. She basically chose them due to the bright green color that matches her phone. The head band is adjustable and the part that covers the ear is softly cushioned and very comfortable. This headset works nicely with Iphone or a Droid phone. (I tried them with both.) The sound quality is very good. When wearing the headphones and listening to music, it is difficult to hear what someone is saying to you. That is a pro not a con. The headphones seem to be a nice quality set and my daughter uses them daily."
7,"These headphones sounded okay when they worked - but they stopped working after a couple of months. Slowly, the sound got scratchy when moving the cord around and then the sound started going out completely on one side and they are now totally not usable. This seems like a big waste of money for headphones that lasted 4 months with only occasional use. I emailed customer service at Ailihen - we shall see how they respond and I will update the review based on the response."
8,"Have had this for a few months now and purposely have waited to report on the quality/worthiness of this set of headphones. Brought these for my 9 year old daughter and although she is pretty careful with her stuff, I've notice the cable does get tangled up from time to time. So far, no problem. She likes the sound quality (and I've checked them out as well and they are very good.) Seem to be well built and I especially appreciate the way the headphone are attached to the head piece. I think these will last just as long or longer than previous sets we have gotten for her. I have them saved on my wish list and will buy them again, if the occasion comes up."
9,"These headphones were a great price and I like the way they look. Works very well for phone calls. I would have liked the volume control on the headset to work differently. I had previous headphones sets where if the volume was on low, it was the same volume as the device it was plugged into. This set, if you lower the volume, there is none - so it definitely is not loud enough for me when listening to speech files, etc. for work."
0,"Great product at an awesome price. The sound quality is great and they are very stylish. I love the color. They are comfortable and can be stored away in small spaces, since they fold. I would have given 5 stars, but this product does not work with my Amazon Kindle Fire.I assumed that it would work.(My fault, I should never assume anything. I forgot that.) Since it is combatable with so many devices, I thought it would work with that too. I use my Kindle a lot, so that is a disappoint. Overall, it is a great product. It was delivered fast, securely, and safely."
1,"For the price, these are a decent pair of cans. I needed something to wear at work that could also be used to make calls and I didn't want a pair of earbuds. These have good sound quality, especially considering the price point,and the Mic provides decent voice quality for calls. My only gripe is they do get a bit uncomfortable after a couple hours of wearing them, the headband squeezes my head a little too tightly and my ears get a little sore."
2,"We have had this item for two months. It worked great for a little over a month, now it has static and the sound goes out in one of the ears randomly. We love the look and over all feel of these headphones, but the quality is lacking for the price."
3,"Be prepared to return these. They worked for the first few times we used them, then the sound became muffled and vocals could not be heard. Also, when folded, the headphones do not stay put. Instead they kind of dangle. Pay just $6 more the the Sound Intone headphones. We've had those for a month and are super happy we purchased that brand instead."
4,"This review will be broken down into pro's and con's to expedite effectiveness of review.

PRO'S:
- Product arrived in timely manner
- Design of product is nice. Colors are bright and vibrant.
- Cord is hidden within the extension of the headband for the most part.
- Extension of headphones are adequate.
- Cord is of almost shoelace material, providing unique but pleasant texture and support over strenuous wear and tear use vs other cord materials.

CON'S:
- Sound leakage: This product has terrible sound conditioning. Any bystander can easily hear what you are listening if volume is at a high level. Even with headphones on head, the sound can still be heard and nice loud volumes. User must turn down music to really escape any sound leakage, but that defies the point of listening to a headset with music/gaming.

- Material: While the headband is cushioned for mitigating any discomfort, the product gets extremely uncomfortable after long duration. Tried for 2 hours and ears were hot, and sore afterwards. Extremely uncomfortable to wear.

- Sound: Bass is terrible, even at loud volumes, sound is extremely hollow and faint. Mixed music produced same results."
5,"My Ailihen C8 headphones arrived earlier than expected which is always nice. I gave 3 stars due to the fact that I have had these headphones for less than a month and the sound sometimes goes in and out or has a strange static sound. I have noticed this on multiple devices (my HP laptop, Android phone, car CD player) so I can only assume it's an issue with this product and not my devices. But for the cost they aren't bad.

I love the style, color, foldable over the ear parts, and that you can manipulate the volume from the cord. Speaking of the cord I love that it's fabric and not just a plastic cord which I have found tangles, tears and damages much easier."
6,"ok so I've had the chance to use these headphones a few times at the gym. So far on the elipitcal , treadmill and just casually sitting at homeThey fit comfortably and have an adjustable band. They are designed very sleek so I do not look totally stupid walking around with big huge headphones. I use them at night to watch tv while hubby sleeps. The noise canceling is o.k but occasionally I would get a feedback type buzz. All and all these are a good value keeping in mind they are not ""Beats"" or ""Bose"". I have used them only for a short time now and will update my review if anything drastically change As an active person I felt this fit right into the type of product I can review with experience with similar products"
7,"Headphones,AILIHEN C8 Lightweight Foldable Headphones with Microphone and Volume Control for iPhone,iPad,iPod,Android Smartphones,PC,Laptop,Mac,Tablet,Headphone Headset for Music Gaming(Grey/Green) by Ailihen

This is a really nice pair of headphones that are working really well for me and my family. They produce some pretty great sounds that are very clear with no static or hissing even when turned all the way up. They are made well and the cable is nice and thick and attached to the earbuds really well. I have no problem plugging the 3.5 mm jack into my Samsung Galaxy S6 and my wife's iPhone 6, even with a case on. They fit my ears nice and are comfortable to wear even for long periods of time without causing any types of ear aches or pains. It has inline controls for playing or pausing the music. The headphones also fold up so they are easy to store or travel with. Love these headphones.

I am a fan of the mid sized over ear headphones. These fold down for storage and have a nice braided cord with an in line volume control and a single button that functions as your home button on an I phone but also plays/pauses and answers calls. There is an in line mic as well that has decent audio quality as well. I appreciate the low profile 3.5 jack that fits around cell phone cases. Sound wise these work out well with clear highs, appropriate mids and, tight punchy lows. The low lows are not completely there but overall the soundscape works well. These wear comfortably. I will be using these for my kids tablets mostly. I hate having to mess with Bluetooth pairing for them and the cords just work.
I had been looking for foldable headphones for the gym. I often use Bluetooth ones, but I like having corded ones for long bouts of cardio after having a few instances where my Bluetooth ones died and left my bored for the remainder of my cardio session. These are perfect for my needs. Here are some brief thoughts after getting some use out of them:

-Sound: The sound is on par or above expectations for headphones in this price range. The sound is clear and crisp. The bass is medium, but better than expected. When turning my phone to max volume these are loud. No worries about them being loud enough.
-Comfort: These have ample padding around the ear. When wearing them for longer periods I forget I'm wearing them.
-Style: In my opinion these look really good for a $20 set of headphones. I got the lime/gray color and I really like how it looks.

Overall, there's nothing bad to be said about these. They work great, look nice and are super comfortable to wear. I was sent them for testing and review purposes. That has no bearing on my rating or review of them.I got the Lime Green and Grey colored headphones and they match the online pictures perfectly in color and design.

I purchased this product at a discount / free for me to test and review. I am not affiliated with this company and make no promises of a good rating while reviewing the product. I test the product thoroughly and do my best to provide detailed reviews to other Amazon customers so they may make informed decisions."
8,"I Love this! Very nice...This is cool.Perfect for me.. having away from home I can use this not only for gaming but can use perfectly through skype with the built-in Microphone.
-Headphone is just right its not hurting in the ear..its so smooth, foldable and it's too easy for me to bring anywhere.
-The color is so natural and nice so pleasing on the eyes.
-Even the design and the making of this headphone is remarkable. very fashionable.
-So easy to used compatible to my Samsung Galaxy Note4, MP4 and even in laptop
-Its so hands-free can received my call not holding my phone... the volume is so loud and clear with the adjustment of volume you desired.
- Highly recomednded. Perfect for gift. Received this product with discount"
9,"Lightweight delight. While some reviewers worried these may be too small, I find them perfect for me at the smallest head setting. They block outside sound well. I like the non-kinking braided cord in a gray color that won't show dirt. The ""mint"" is more of a vibrant teal and I love it. I'm not an audio expert, but have used headphones to listen to music for years and these deliver better tone than others in this price range. And while I did not buy these for phone call use, they work well for that, too."
0,"I bought these for my daughter who has managed to break three or four pairs of headphones with what seems to be ""normal"" eight-year-old use. So far, they seem to be solid. Mostly I like that they fold up, so they are less likely to suffer the accidental fate of the others.
We tested with a laptop, android phone, and iPad; no problems with any of the devices."
1,"I have been through many pairs of headphones and earbuds, trying to find something comfortable. I had several pairs of Sony earbuds found in store for $8 that are super comfortable and have decent sound, but they were dropped and broke. So I was in need of a good inexpensive pair for Netflix and Pandora. I got this pair for $9.99, so I thought it was a great deal. They look adorable. They seem good quality. I like the design and the cord. The sound quality is very good and they are doing a great job at noise-cancelling. I love the color and I have to admit that it was a deciding factor, since I love anything teal. I bought the mint/grey ones, but they are not mint. They are teal. I think they got color names a bit mixed up. Anyway, I love the color. The biggest issue is they are extremely uncomfortable. I cannot even wear them for 30 minutes without my ears hurting really, really bad. I do not have huge ears or a big head. I am petite and proportionate, so I don't know what the problem is. It seems to me that they might be designed for children. If the headset was slightly bigger, it would probably be comfortable. I was unsure whether to return them or not, but I figured for $9.99, why bother. I can use them for short term, like to watch short youtube videos or listen to a song or two. I will keep looking for a perfect pair in the meantime."
2,These headphones work well. They do not cancel out all of the sound but they do a good job. I can still slightly hear things close to me. The sound quality is great and everything sounds like it should. I use these daily and I would purchase these again. These you would make a great gift for anyone.
3,"Update: They stopped working properly. I returned them. I guess they weren't so durable after all.
They seem to have decent sound quality. The earpieces block noise but that makes it more difficult to hear someone speaking to me more often than it helps me hear music. Cord is durable and has a volume control and play/pause button, so that's good."
4,"I love them. Before I purchased I read the reviews about being comfortable and the great audio sound, the audio is wonderful however no two ears are the same. They are somewhat comfy for an hour or so but I wouldn't fall asleep in them. But like I say all ears are shaped differently. Other than that I love them as well as having the volume switch on them verses going to my device."
5,"These were for my son and he has only been using them for a few days, but we've tested the functions and overall are very happy with the purchase. The cord covering not being plastic or silicone coated is great because it doesn't get wrapped around itself and tangled up so easily. The microphone works well and I was able to hear him clearly when we did a test video call. The volume adjuster on the mic piece is nice to quickly adjust. They fit well and are comfortable for him. Here's 9.
My husband also bought a pair for himself and he has enjoyed them so far so well."
6,"Having used them for several days now, I like them. My only concerns are, will the ear foam break down and peel, will the controls fail, and will the cord break. These issues will only show up over time so I just have to wait and see. So far I like them."
7,"These headphones are great! Sounds quality is awesome for the low price. I am a college student who attends online, so I use then to submit my oral assignments, microphone works great and I always have a clear audio for my work. Super cute style and color!! I am in love!!"
8,"Quality is amazing. Well built and of great durability. Sturdy and aesthetically pleasing, as well as very comfortable. Noise cancellation is well above average. When headphones are on, you cannot hear anything but what is played through the speakers. As well, when the sound is up inside the headphones, those around cannot hear in the same room unless you are sitting literally right beside them and that is with them up quite loud. They are adjustable. The cord has a mic on it so that you can answer your cell phone when listening to music on your phone. They go up, maybe a little too loud, as my son could potentially do damage to his eardrums. The bass is fantastic, the clarity is phenomenal, and the treble is perfect with great balance. The mids are good, the lows are good, and the highs are good. I literally have nothing bad to say about these headphones. I have ordered three different pair this week of over the ear headphones for under $30 and these are by far the best ones. I just cannot say enough about the sound quality. Even when speaking normally during a phone conversation, my voice is not muffled and neither is the caller on the other end. You definitely cannot go wrong with these headphones. Although I received a discount for my review of this product, I, as many other Amazon shoppers, rely heavily on the un-biased opinions of other reviewers. This review is an un-biased, 100% accurate review of my personal experience with this product."
9,"These headphones are only okay. The pros are they work like headphones should and the sound quality isn't bad for $20.00. It's mostly mids, but it's tolerable. The cons are they are made from cheap materials and a possible fire hazard. I assume many products are made cheaply and sold for more, but when it's obvious the materials are cheap it makes one nervous (light plastic). Especially since the poorly translated English warnings mention possible fire (when plugged into a phone adapter on airplanes). So uh...I won't be plugging these in to my phone anytime soon or taking them on airplanes, but I'll keep them as a throw away pair until I can afford something better.

EDIT: I changed my review to 2 stars because they are now BROKEN after 2 months. I've barely used them and the sound has gone out in the right side. I can't even return them now. You get what you pay for, but it's not worth the risk. DON'T WASTE YOUR MONEY."
0,"Upgrade from earbuds!! Bought for my daughter, she LOVES them!
I got these for my ten year old daughter who likes to listen to music and is a novice gamer. When she first spotted the headphones right out of the box, she loved the bright, fun colors; but then she put them on and she really fell in love! She loves how comfortable they are, and more importantly how they muffle the background noise of her siblings so that she can enjoy her music and gaming experiences without the sounds of toddlers interrupting her. She also likes how easily the menu bar on the cable operates; she notes that its simple, easy to reach, and allows for all the functions she needs to access whether its pausing her music, answering her phone or skipping ahead to her favorite song. I love that her music helps her focus and that she has been able to work more efficiently on her homework when she's not distracted by outside racket! I also love that the headphones fold to store away easily in their box!
Important to note: these headphones fit really great on my daughter, but when I tried them on, they felt a little small on my ears. I highly recommend for younger (teen - pre-teen) / smaller folks but would buy something larger for myself. The headphones do cover my whole ear, but I personally prefer the kind that encase my ears completely.
* I received this product at a discounted rate in exchange for my honest review. I am under no obligation to write a positive review and only review after fully testing the product"
1,Nice headphones for priceless. Comfy and sound good. Until 2 days after return window closes. Then month old headset has short in cord near plug. So that sound comes and goes. Better off buy something last more than just long enough they won't stand behind it
2,"Dear AILIHEN, I am very disappointed to inform you that I purchased these lovely headphones and they worked beautifully for the first three weeks. Then the plastic adapter broke and they no longer work. My Mother had bought the same ones (the only difference was the color) and she loved them as well. When I saw mine had broke I looked at hers and noticed that her adapter was metal and solid, where as mine was cheap plastic and broken in less then a month."
3,"I bought these for my son. He loves them he said they are super comfortable the sound is really good and they cancel out alot of noise!
UPDATE sound always goes out after a couple weeks, we have replaced them 2x already.It was a waste of money we now have to buy yet another pair of headphones"
4,These work great and they look good. They aren't noise canceling - but I didn't expect them to be. These are good for listening to Netflix or music or for conferences over Zoom. I've recorded a few lectures on these as well and they sound fine.
5,"After spending all night on the road with these headphones (Vacation baby!) I have to say these headphones are OK at best. The look sleek from a distance, but the silver color on them just LOOKS like cheap plastic. They feel like a toy but are somewhat comfortable. The colors are really nice but I am not quite sure i can tell my friends to pick them up. The looks are ok, the feel is not. The sound quality is OK but i get the same sound quality out of a cheap pair of 5 dollar earbuds from walmart.

These are OK at best.

Disclaimer: I was provided a discount in order to review this product"
6,"Bought for tween daughter who was thrilled with them as they do look great. Unfortunately, only a month later the sound began to falter, strangely couldn't hear vocals any longer, just the music. Then one earphone failed completely and we haven't used them since. Switched to angled earbuds too for more comfort as after a while her ears would be sore from these."
7,"Our young son is fairly picky about how headphones feel on his ears when wearing them. We ordered these headphones last year and he has really liked them! He needed a new pair for school this year so we made sure to purchase the same kind. We really like that there is padding on the part that sits on your ears, that the cord is covered in a nylon fabric (does not get tangled) and that the headphones fold easily. They are great for traveling!"
8,"I bought these July 18, 2016 for my son's birthday and he loved them using them while playing games on his tablet. But it is now December 18, 2016 (5 months later!) and there is only sound every once in a while in one side and that's only after messing with the volume slide for a while. VERY disappointed. They are going in the trash."
9,Captians Log...Star date 1/23/2017...My headphones arrived recently and I have found myself intrigued by the product. Good product. Just what I expected for the money. Delivered quickly and in great shape when they arrived. Would buy again. Kirk out...
0,"I received these headphones on October 6th 2016. These headphones are beautiful and seem sturdily constructed, as far as the body goes. That is where the positive aspects end. They do not work for someone with a big head. They are too snug. Even worse they pinch my ears terribly. I have pretty small ears maybe even smaller than most adult women and though the ear pieces are very padded they pinch badly, especially if I am wearing glasses. This is not due to the band size but something in the ear cups construction. Now the review gets worse... The sound initially was very muffled and quiet, I noticed the only way to get these things sounding reasonably loud enough was to hold down the talk button or at-least I am assuming that is what the little knobby button is as its unlabeled. Then the sound was clear. But the button does not stay depressed so you either have to hold it or find a way to gently secure it... So you can hear your audio, their sole function. I should have returned these off the bat because of the discomfort issue but I didn't, now they have forced my hand and they will go to the great dumpster in the sky. Both speakers have gone out, I struggled with one side working for about a week and today the remaining speaker has died. RIP headphones you were terrible but will be missed.... only because now I don't have any working headphones."
1,This product is very durable. Even the cord is wrapped in a wonderful fabric that is usually the point at which she sings fail. I keep this next to my living room chair so I can quietly listen to things on my computer without disturbing family members nearby
2,The jack broke off in the ear phone slot not even a week after we bought them! Very sad about the quality of this product.
3,"Amazing sound quality!! I got these at a special price. I think like $13.99 or something like that. If i see it for this price again, I'm definitely getting another one. I still have my N-Tune Headphones but it seem like the sound quality on this is a little bit better in my opinion. Well, to me sound quality is different for everyone. Some people like loads of bass and some people like a little bass with more treble. Anyways, just got them today and i hope they at least last a year or more. Love it!!"
4,It was just what I was looking for. The ear covers are much more comfortable than the ones I previously had. The color is very close to the color on my computer screen. I especially love the working volume slider. I still get head aches but that's usually due to how I wear them not because of wearing them in general.
5,"These headphones are great! Clear sound, no problems with the cord, comfortable and adjustable headphones. I would recommend these to anyone looking for a decent pair of headphones. It is a little odd that the cord is on the left, but not a deal breaker."
6,After two days the jack that goes into my daughter tablet broke off into the jack insert in her tablet now her tablet is damaged since I don't know how to get the jack out of it. Now I have a three hundred dollar tablet that you can't hear any sound. Very upset!!
7,"These headphone are nice, but not very comfortable for long use. I really don't recommend these. If you are wanting something quick then go for these but look for others. They started to hurt my ears some after a few days. To me they seem cheap, not will designed. My headphones broke. I was only getting sound out of one site and not both. I am extremely unhappy with the product. I also don't want to pay the extra costs of shipping them back. I do not recommend these headphones at all. Look at other headphones don't get these."
8,"The headphones looked high end but they weren’t. The headphone jack ended up breaking in my daughter’s iPhone so now the phone believes headphones are in so now you can’t get any calls. She can’t hear people. Headphones just not built to last, cheap and when you buy cheap you get what you pay for👏"
9,"Pretty, functional, sound great and are comfortable. I like that they fold and fit nicely in the case (bought separately). Can't hear much around me when wearing them. They block outside noise very well."
0,"they were good headphones for about 5 months, until suddenly on a phone they would start pausing, unpausing, skipping, and opening siri by itself with no way to stop it. they worked fine on the computer until the audio wouldn't work unless you positioned the cord a certain way, and then it only played out of one side and then they stopped working completely!! so yeah i'm pretty pissed right now"
1,I purchased a pair for my daughter and a pair for my son. My daughter’s cord broke after a few weeks and I returned for a refund. My sons just recently stopped working for u known reason and now the window has closed to return it. I wasn’t expecting Beats or Bose but was hoping they would last longer then a few months.
