,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop Tablet Android Smartphones(Grey)
538,Very comfortable. Excellent sound. Noise cancelling works perfectly. The bass is fair. Good enough but could be better.
539,beautiful sound and attractive design
540,"Great sound, good fit. The mic seems to be too sensitive but not a big problem. Can not beat the price to quality ratio."
541,love it has great sound & yes i'd buy it again
542,Good
543,My son says they are great headphones
544,Junk. Just died on me. Never left my office. Only used them for phone calls while sitting at a desk. Didn't even last four months.
545,👍
546,Break real easy
547,Very good
548,Head phones had lots of static. No good after one month.
549,"Nice headphones, sleek design..however packaging states use is only for iphone and other apple products"
550,Awesome
551,Heading works great! Love the sound quality and it's great when playing games or watching a movie! (Which is when I use it more)
552,great sound
553,It is excellent and inexpensive! The cable is very robust and I love the design!
554,Very impressed for a pair of inexpensive headphones that work great and sounds amazing!
555,Great headphones!! Really cancels out background nosie
556,"It was a gift for my son,he loves them. He says the quality is good."
557,We got these as a birthday gift for our niece. She loves them and said they are very comfortable.
558,"Fast shipping.
Good quality ."
559,Would be a great product if I was sent headphones that had two working sides.
560,"Great product, works fine."
561,Comfortable and well more than satisfactory! Delivered as promised on time.
562,"Sound quality was good, but they broke in the first two weeks. The connection with the wire and input piece became all static and unreadable."
563,My kids love their headphones...they work perfectly and look so nice. Exactly what we wanted.
564,"This is an excellent product. It passed all of my expectations, and I would highly recommend it to a friend."
565,They sound & look amazing. The vinyl shoestring like cord seems like it won't break as easily as the traditional plastic ones.
566,Comfortable good quality sound. Used them when I flew and enjoyed movies and music
567,Broken in less than 6 weeks and can't return or refund! Return can only be done 30 days. I wouldn't purchase
568,Very good for the cost im very satisfied
569,One happy boy at Christmas.
570,Got a pair of these for my grandson---who really liked them!
571,Not even 3 months use and already broken. Used very delicately even.
572,Sound is alright but the actual headpiece is flimsy as all hell.
573,It stopped working after 3 months
574,"It's a Christmas gift, so have not opened it yet"
575,Its got good sound- just a little bulky when you wear it.
576,"This was a Christmas gift, and it was a big hit"
577,"These are very well made head phones. They come in a folded configuration. You pop open each side and then you can adjust the height on each side. The plug fits the speaker slot on any MAC computer or any iPhone. The sound quality on the computer is not as good when speaking when connected to the computer as it is on the iPhone. On the computer, you pick up the sounds of the fan which on an older model can be very loud. The earpieces are very comfortable and I like the fit better than ear buds. Overall, great headphones for the price - especially if you want to pair them with your iPhone.
https://www.amazon.com/dp/B07411JCJK/ref=cm_cr_ryp_prd_ttl_sol_0"
578,"Bad sound quality, my 2 cents."
579,"It's a good headset, but you don't feel the bass you can only hear it and they get very hot after awhile."
580,"My Son loved them. So happy I went with these. Prompt delivery, great sound and comfortable... Will purchase from them again.."
581,Great headphones my daughter loves them great quality!!!
582,I ordered the headphones for my godson for his 9th birthday. He loves them! Great quality!!
583,"inexpensive, great quality...I'm very happy with the purchase."
584,I bought three pair as gifts and they absolutely love them!
585,"Good headphones, and the price is good"
586,Very comfortable; sound is good. Price is very reasonable.
587,Great sound. Loud. Bass is awesome. Totally recommend.
588,Nice headphones for a decent price. Appreciate the quick service too.
589,There is short in the left speaker already and i have only owned them for 2 weeks...
590,The sound quality is great and they look very smart.
591,My son loves these headphones and the little box they came in!!!
592,"So far, so good."
593,I love my headphones there perfect thank you Amazon
594,Only works on one side.
595,Awesome headphones for the price. Good sound quality and just overall a solid pair of headphones
596,"Was really excited upon hearing them for the first time. Worked great for awhile, but now can only hear 1 side."
597,"A GREAT TRAVEL HEAD PHONES, THEY FOLD UP NICELY AND FITS IN MY BACK PACK.
GREAT SOUND QUALITY TOO."
598,"My Teenager loves the, they sound and work great."
599,"These headphones are some of the best I've ever had, and for a great low price, these are hard to beat!"
600,I bought this for my 7 year old daughter. She loves it because it's foldable and the sound is perfect. Very stylish and durable.
601,Good product for the price point.
602,"Though large, I can hear phone calls on my cell phone perfectly. That's what I needed."
603,"Love these. Great sound,light weight. Bought them for my daughter for. Christmas."
604,I love it
605,I got this for my son & he uses it to play on his ps4. He loves it
606,Very good sound..
607,Tinny and no volume.
608,I bought them for my brother and he never takes them off!! Such a great buy.
609,I bought this for my boys as Christmas gift. he loves it and this headphones has super bass. LOVE IT!!!
610,These headphones are great for what I use them for which is working out at the gym. They are lightweight and very comfortable. The volume is not as loud as I would like. I like my classic rock and like it loud. The quality of sound is what I would expect from headphones of this price. No real definition of instruments. A bit muddy. For the price they are fine.
611,Plugged them into a iPhone V and use it for hands free phoning. Sounds good and works so far ...
612,This was a gift for my son and I was very impressed with it especially for the price I would recommend it
613,It really good got way more then I thought I was going to get out of it.
614,Its great just what I needed to workout with.
615,My headphones are great thank you
616,"I have problem with my left side.
Sound is not good"
617,Christmas present......daughter love them
618,We are very satisfied with the quality!
619,Better than expected. I'm very satisfied.
620,Very good headset with excellent price! Very loud and clear.
621,Great for watching movies on my phone..
622,Cuts out on one side and sound is not good.
623,These work very well with my young grandchildren.
624,Great sound and comfort for the price.
625,Broke after 2 months.
626,Kids use them for school and said they love them!
627,"These headphones are great! Loud, clear, and lightweight. Great product for a great price!"
628,Really great pair of headphones for the price. Quality was better than I expected.
629,Broken within 2 months
630,Great value! Headphones and mic work really well. They are also very comfortable!
631,"Bought these for our tweens and they loved them! They look really cool, and the sound quality/noise cancellation is great too."
632,Very nice stylish and comfortable I will recommended it to friends and family for sure
633,Nice headphones
634,My husband loves them
635,Headphones work good and sound good
636,I love this headphone set!
637,"Quality material, striking color scheme, super price, comfy fit."
638,Broke really easily. Great while lasted
639,Dad loved it!
640,Amazing quality! I love them!
641,excellent bass and like portability since it can fold
642,It's awesome. I really like it.
643,Great product...works great!
644,Love it!
645,Good while they lasted only 3 months
646,These headphones are some of the best I've ever used the bass and sound quality is perfect
647,"This item is working out just fine for me, thanks Amazon!!"
648,I really would like to return these they are starting to go out in one of the ears
649,Exceptional value...
650,Didn't even last a month.
651,"not good, broke after 2 weeks since I bought it
not recommended"
652,Exceeded expectations for the price-point.
653,"Overall I give these four stars. The sound quality is good. Mid-ranges are a bit muddy, but the bass really is surprisingly rich! No major complaints here, however I will say that I feel the sizing on these headphones is on the petite side, better suited for women or adolescents perhaps as my husband's head was too large for these to be comfortable on him. I found them a perfect fit myself though, and plan to keep them!"
654,"These headphones sound great and are comfortable, it was a good buy."
655,These things broke literally on day 1' the headphone jack broke off from the cord.
656,Great buy
657,Love the headphones. Ordered a second set!
658,Excellent product. Would definitely recommend.
659,Mic could be better. I
660,"the bass really good. Love it, you guys should buy and try it"
661,"Great product, great service."
662,Broke☹️
663,Perfect for the price.
664,Cord shorted out after one week.
665,Good
666,Houloulou Nice one
667,It's like I'm at the concert!
668,great
669,Very Aeosome
670,"Excelente ,so happy"
671,Headphones are great & Amazon delivered on schedule
672,Excellent value and quality
673,My son loves them.
674,Great headphones ! Love em
675,"it's awesome headphones. the sound is good ! packing was very nice by amazon, great job guys."
676,"Very well made, comfortable and the sound is more than impeccable."
677,Really nice product I recommend 100%
678,Mic broke within 3 weeks of use. It is also very uncomfortable if you wear glasses.
679,Great sound and good microphone. uh
680,I bought for my 13 yr old and he loves them!
681,Great sound quality...
682,Broke after only two weeks.
683,These look great and function well
684,Great sound!!
685,"Great sound, lightweight, and comfortable. Could not be happier with my purchase!"
686,"For the price, the sound was unbelievably great... I will definitely recommend any day"
687,Just what my kids needed for school.
688,These are the best headphones I have ever purchased!
689,"very comfortable and good quality sound.
speedy delivery too!"
690,Works great
691,Fits good over my ears and sound is crisp and clear. Keeps other noises out.
692,Works well!
693,I bought these headphones for my wife and she says that they work very well.
694,Very good.
695,Great!
696,It's amazing lol everyone should get a pair... ps. I'm a real customer
697,Head phones were excellent
698,Four weeks old and broken. No sound. I'm going to try and return.
699,It was a great buy
700,The right speaker stopped working after 1 month.
701,Headphones are great!
702,My 11 year old son loves these!
703,One ear stopped working. Only owned for 3 months.
704,They're really nice and the cord is a lot sturdier than regular cords.
705,These started to short out the first day we used them
706,Great product.
707,Good item
708,Excellent
709,We changed from a much heavier headset and we are delighted.
710,Great quality and excellent price!
711,Very happy with my headphones they work great
712,"Bought as a gift for my daughter, she loves them! Great product!"
713,They just got here and I love them so much!!
714,Waste of money. A short occurred within 40 days of purchase.
715,These headphones are very nice. Good fit and nice sound with very good base quality.
716,Nice great sound
717,Great sound and value! Very impressed with these head phones.
718,One side didn't even work when it was delivered. Disappointing.
719,"Bought these for hubby, who is really picky. He likes them."
720,great product. quality sound for a foldable headphone
721,Great quality for the price
722,Broke after 2 days. Microphone stopped working.
723,"Great sound for the price , but a little uncomfortable for a long time"
724,They are loud I like loud
725,"For the price, a great set of headphones."
726,My brother loves them
727,sound not so great
728,"Better than expected, would recommend"
729,These phones are great. Just what I needed tocover the noise the TV make when my other half that can't hear cranks up the volume so she can hear the TV. I use them on a desk top ans watch Star Wars. I hear all the music that I never knew was there until I used these head phones and they are Exellant for small sounds that you do not hear when you watch a disc thru a player.
730,At first the souded good but 2 weeks later it stoped function
731,Great product.
732,It's good
733,I am very happy with this headphone and will be purchasing again!
734,They arrived quickly and sound amazing!
735,They broke within 2 weeks....sending back now.
736,I love them . For an awesome price you get great sound quality.
737,Very comfortable to wear. Quality of sound was very good.
738,Works great
739,These headphones are the best for the price! I love em!
740,Amazing quality for money. Very happy. Highly recommend.
741,Economical and very good quality phones.
742,Thing broke in less than a month. How do i get a refund?
743,Christmas present for my Grandson. Highly satisfied.
744,Great product
745,Great headphones
746,The sound quality is awesome!
747,"Excellent value for money, nice!!!"
748,Works great!
749,After only one week of use one side is already going in and out.
750,Good
751,Used it once and the tip broke off.
752,Broke pretty fast. Already doesn't work
753,Very comfortable and great sound quality
754,Love the headphones!!!👍
755,Work GREAT!
756,great sound and keeps background noise to a minimum
757,Good product. Great sound and comfort.
758,"item as described,great service"
759,Bad mic. Doesn't work
760,Great product
761,Great sound. I'll buy many of these for gifts.
762,Great deal for the money!
763,Kids loved them and are using them daily.
764,Cord could be longer.
765,Awsome product for the price
766,Not good
767,One ear stopped working after 45 days
768,My son is in love with these!!!!!
769,Great product
770,Awesome base great price
771,love it
772,Best purchase I have ever made for head-phones.
773,Nice for the price
774,really good! really excellent quality/price ratio.
775,works great
776,great product fast shipping !
777,They work great
778,Great investment
779,Great headphones!!!! Awesome sound!!
780,Nice
781,They are awesome
782,My son love it
783,Incredible sound.
784,"I own and operate my own recording studio and own several different pairs of headphones ranging in quality. I ordered the i60's after my old pair of Skullcandy Hesh wore out, just as a casual listening pair while I'm traveling, writing, etc.

What must be understood is that these headphones are affordable for a reason. They are not high-end and the sound quality is ok but not great. They are a little bassy as over-ear headphones can be but the clarity is significantly less than what you would get with a better pair of headphones.

That said, the value is pretty outstanding. The cord is long and covered with a sturdy woven material, the headpiece is comfortable and they fold up nicely. For under $20, it's a good buy. Just don't expect them to sound crystal clear or to be good for any serious or professional listening."
785,"Worked well when they did, i bought them roughly two weeks ago. They recently have been cutting out if the cord is touched the wrong way, and when they don't work, the audio is absolutely horrible. Otherwise, the audio was fantastic and personally the sound cancellation is very effective.
If the problems become unbearable in a short time, I will return these."
786,My kid loved these headphones. The color is amazing and rich. She loved the sound and noise cancelling for watching her favorite shoes on her Kindle. Then she dropped the Kindle which was fine by the way and the encasement around the connector broke. That's that! So much for her favorite X-mas gift.
787,"Great headphones for the money, their a excellent value. My kids love them, and I'll definitely be buying a few more pairs for my other kids as well."
788,"Just received these and am already loving them! They are easily adjustable and very light weight. I personally hate earbuds...they are uncomfortable and tend to fall out often. These headphones are comfortable...and since they cover the ears they are better at cutting outside noise and give a deeper, more stereotype sound. Best for sitting and enjoying music, movies, etc. I would most definitely recommend these for anyone who, like me, just don't like earbuds!
Only reason I don't give them five stars is because I don't yet know how they will perform in the long run."
789,"Worked ok for a week with gentle use. Then stopped working entirely. Just ok sound, terrible quality product."
790,I purchased these for doing conference calls on my laptop for work. The headphones are excellent. The only problem is they do such a good job of outside noise reduction that I have a hard time hearing myself when I speak. As a fix I just move them slightly off my ears.
791,i purchased these for a friend going to italy for a couple of weeks. he loved them and happy he had them on his 8 hour flight!! great price and definitely were helpful to keep out noise when watching movies. would definitely buy again. maybe ill get a pair for myself too!!
792,I gave this a why CORD. I have to play with it meaning when put it in I HAVE TO PLAY WITH THE CORD. To hear both sides. HOWEVER this MAY BE A RECALL. TECHNICALLY always IMPROVING
793,"After using them two times, they don't work. Very disappointing."
794,"Excellent earphones for the price. The noice reduction quality is excellent, and the sounds are pure. The cord is substantial, wrapped in a material to keep it from linking. Very satisfied with this purchase."
795,They are fine for someone that likes a headphone that goes around the whole ear. I don't. After putting them on I decided I probably won't ever use them. I would prefer a headphone that is soft foam that just sits one the ear. Not around it. Oh well.
796,Ugh! I never do reviews I'm not going to lie. I'm lazy. But I'm so annoyed with these headphones. I should have at least read the reviews. We've had these for less than a week! Already they aren't working. When using to watch videos/movies they crack and cut out and when trying to use them for calls or playing online you can't hear the person on the other end. DO NOT BUY THESE! They are a waste of time and money! Returning!
797,"Buy these headphones while you can, judging from Amazon' huge discount, they will not be around
much longer. Outstanding performance, outstanding quality."
798,Great sound quality! I bought these for my twelve year old son for Christmas and he uses them almost every day. They are perfect. Lots of people have marveled at the neat way they fold up and how comfortable they feel.
799,"I bought these for my 14-year-old son and he absolutely loves them! They are nice looking, have great sound quality, and are very comfortable! The size adjusted easily for my older sons who tried them and also found them to be good quality. Great purchase for the cost!!!"
800,"I'm very happy with these headphones. Good, deep base, the microphone works very well, even in noisy environments, and the headphones do a great job of blocking out surrounding noise. An absolute steal for this price."
801,My son loves these and little brother liked them so much he begged for some for Christmas so we already have them ordered and on their way!
802,"UPDATE 9/13/2017: I had to drop a star for low durability. The headphones snapped and broke in the headband while just sitting on my head, 9 months into ownership. I am dissapointed.
*********
So I had to really think about how I wanted to review this product. Here goes:

What you're getting: Really good $20 headphones.
What you're not getting: Really good $50 headphones.

If I had just bought these without reading reviews, I would have really liked them. But having read almost unanimous glowing reviews, my expectations were a little higher... and were disappointed. So the details:

Style: Apparently this detail matters to people. I think they look cool enough, but I don't really trust my fashion sense, so whatever.

Durability: It hasn't broken in the week since amazon delivered it. Its construction seems strong enough that I'm not afraid something will break if I sneeze too hard. Will update if I have worse results as time goes on.

Sound Quality: I'd score it 8/10, or, ""pretty good."" I wasn't really looking for more than that, so I'm happy, though reviews lead me to expect better. It seems like they put a lot of effort [succesfully] in having an effective base, and clear trebles. The weakness is with the mids, which sound a bit muddy and indistinct to a picky ear.

Comfort: This is my main complaint with these headphones. I was particularly looking for headphones designed/reviewed for comfort, because I've experienced the frustration of constant ear-ache 30 minutes into whatever you're listening to. Description/reviews glowed for the comfort of this product.

Well... I got them, and 30 minutes in... ear-ache. They're actually worse than my previous, lower quality earphones. It's improved some since I first got them, as usage has stretched them a little wider so they don't press so tight against my head. But I thought I was buying ""comfortable"" and I got, ""Not as bad as it was at first."" In the future, I'll probably limit myself to ""Over the Ear"" instead of ""On the Ear.""

For anyone interested in the level of noise isolation: I can still hear my baby crying [though muffled], but my wife has repeatedly walked up behind me and scared the crap out of me. So yeah. Take that how you will."
803,"I paid only $18 for these headphones and I am blown away by the quality of the sound + bass, as well as the level of comfort! I wasn't expecting much for that price, so I am very happy. The box states the sound quality is made for iPods and iPhones, but the sound quality is amazing on my Android phone. I did my research before purchasing these over the ear headphones and feel this must be the best on the market for the price."
804,"Received today and used right out of the package. Comfy to wear however I hear ""Snow"" in the background. The caller on the other end didn't hear it but I do on my end which is very distracting while on conference calls. Glad I didn't pay $50 or I would have returned them.

Update review: Now that I had a chance to wear these for a few different conference calls I am updating this review to one star. Not only is the ""Snow"" is extremely loud but I found that after wearing these for longer than an hour I have a massive headache. I was hoping that in time these would improve however they just seem to get worse. I will need to purchase another brand since I can't wear these any longer. I am very disappointed in these headphones. :("
805,Awesome
806,Great Product!
807,The headphone part of the unit sounded great on music. The inline mike sounded terrible to everybody I called. Looking for a different unit now.
808,product was too good!!! sound quality was too well and I formed an addiction to these headsets. 0/13
809,"Doesn't work well with ps4, low sound."
810,So far so good! Great product for great price!
811,The christmas gift was a hit!!!! thank you!!!
812,"Horrible headset, stopped working after 2 weeks!!! Price was attractive so bought it, worst quality headset in the world, don't waste your time or money!"
813,They fit my 5 year old son head perfect. He loves them and they are exactly what his teacher asked me for him to have for the school year!
814,Bought them for my grandson and he loves them.
815,Great product good value also
816,"Audio quality is good, but the headphones don't fit large heads very well."
817,Microphone DOES NOT WORK for gaming... Should not even mansion having it...
818,"Seem good, haven't used them yet."
819,Stopped working in one ear in 3 weeks. Poor wiring.
820,Trying to see how microphone works
821,These headphones will only last about 5 weeks then one side loses sound. We've had 2 sets and this happened to both sets. I would not buy these again.
822,Not enough cushion on head section...painful over small amount of time.
823,Good not great sound quality. Works well enough for intended use.
824,"The shipping was quicker than expected and the headphones exceeded my expectations. My pre-teen is going to LOVE THEM! They are very stylish and seem to be made well. They have a modern ""cool"" look and are well padded for comfort. I can't say how the sound quality is because they are a Christmas gift but I'll update. I can't believe I found these for the price."
825,"This was a Christmas gift, It is now 3/17 and one side of the headphone does not work and it is beyond the January 31st Amazon holiday return policy. I do not recommend them."
826,The jack Broke within a few weeks.
827,"Don't buy! Cheap plastic junk!

I literally had it delivered 15 minutes ago, upon unboxing and trying it out , it broke in my iPhone.

The housing had a crack and is very cheaply made!

Don't buy!"
828,"After a week of normal use, the volume control seems to fluctuate on it's own, and the sound goes in and out, loud and soft. This replaced an iSound one we'd bought a year earlier, which were a similar style and price and were awesome. We'll look for a new, better brand."
829,"Nice well made headphones.Sound they are surprisingly good and perform well on most music types but as the name implies they are biased for a heavy base which is great in most cases ,on the other hand fantastic for big overtures. They sit on the ears, are comfortable and have enough tension on the headband to keep them in place but not so much that it hurts. For the price an absolute bargain and super for commuting/gardening etc."
830,"Sad to say that I must echo many of the other negative reviews. I purchased these for my husband who uses them solely at his desk at work. To say that there is minimal wear and tear activity is an understatement. They were not dropped, mishandled, mangled or abused and yet one side stopped functioning about three months after purchase. It also sounds as though a part is rolling around inside the ear piece. A total waste of money."
831,"These headphones provide rich, deep sound without broadcasting to everyone around what you are listening to (he was sitting right beside me and I could not hear any sound whatsoever). The fit is very comfortable and they seem to be extremely well made. So happy with this purchase and would recommend.

Please note: A lot of thought is put into my reviews. I write them as I personally rely on reviews when I make a purchase and there is nothing worse than making a purchase only to find out that most of the reviews are either fake or the reviewer didn't pay for the item. If you took the time to read this review and find it helpful, please click the ""yes"" below where it asks ""Was this review helpful to you?"". Thank you!"
832,"So I had these awesome inexpensive headphones that I bought here on Amazon awhile go but my son accidentally broke it. In the meantime, I used an old Skullcandy set to do my transcribing, which I thought were decent and got the job done. But when these arrived, I put them to use immediately and I just LOVE them. I honestly don't think I would have appreciated the sound as much as I do had I not literally JUST taken the Skullcandy headphones off and put these on. It was really night and day. The sound to me is crisp. They're not noise cancelling, but I wasn't expecting them to be. But the biggest difference was that you could hear a huge reduction in excess noise in comparison to the SC I had on. Awesome headphones. I hope they have more colors because I will def buy another. If you've read any of my other reviews you probably know that I'm really big on presentation. These are definitely giftable. The box is matte black with metallic logo. It's very nice that I didn't I actually forgot that I bought headphones and was wondering what I could have bought that looks this expensive."
833,"I have used these consistently for over a week, and I must say I am quite impressed with these headphones. For $20 these are a steal; these would be a steal for $40 in my opinion. The sound is very clear at almost all levels. There is a little static as you get up there, but the sound is so loud that you won't have worry about it being unclear.
The headphones themselves are very comfortable and adjustable, so the one size will fit all. Each side has a good amount of cushion to the point where they are not too bulky, but is still low key. The headphones also have the added bonus of folding for better storage in a backpack.
The cord is braided so the cord will hold together go a good while, but there is one thing that I do not care for. I wish the cord would unplug from the headphones, that way I could roll it up to store is better. But other than that these headphones are great for music, and dialogue."
834,"These headphones are very soft and fit your well. They have a nice length cord and are easy to use with any device. I like that they go to a decent volume and block out most of your other background noise. I had them on 25% with my computer/phone and couldn't hear my kids very easily who were watching TV in the same room. They are nice, sturdy, and heavy duty and I love that they fold down when not in use.

The color is a nice red and black. I think these these headphones are comparable to others and I like them just as much as the expensive pair of Ludicris Soul headphones I own or any Beat products. All together I would recommend these headphones to others because I think they are a pretty decent set of headphones for the price - especially if your kids ruin them fast as mine tend to do."
835,"For a few months, these were great. They fit well and the sound was really clear. Now, after only about 3 months of very minimal use (I only use them at work) the right earphone no longer works. I am super disappointed as I'd have expected these headphones to last awhile.

UPDATE 12/14/17 - Now these don't work at all after moderate use by an adult at work. Save your money folks and don't buy these!"
836,"I was looking for a decent set of headphones that my daughter would like. She keeps losing them or loaning them to her friends which is frustrating. She is super critical of her headphones which I always find a little humorous since she has a hard time keeping track of them. I keep looking for “the one” that she will like and decide to keep track of.

These looked very stylish and simplistic making them a perfect choice. The sound is pretty amazing too considering the price making them an excellent choice everyday use and teens. These are corded which my daughter loves because she isn’t a huge fan of Bluetooth. She wants something she can plug-in and expect to work right away. These are comfortable and have nice padding on the ears without being too tight.

Overall, these have exceeded my expectations. I was provided these headphones free of charge for testing purposes."
837,"They broke after only 3 days and for no apparent reason. The cords are fine, all looks well, no sound....only three days later. I'd say ""no"" to buying these. Now the pain of mailing them back, etc. Ick."
838,"I am very impressed with these headphones. I received a pair as a gift and they do sound good. The ear coverings are soft and comfortable, they have a nice fit, and an attractive look. There is no volume control, which is not a problem because, they can be controlled with the device volume. They are equipped with a microphone for making phone calls. Even the packaging reeks of professionalism, they come packaged in a nice black box with a formed bubble insert to cradle them in place. They also have a 6 month warranty, almost unheard of now days. The black and red design makes for a nice, modern look with a classic feel that I feel comfortable with. Overall, a nice pair of headphones that I would expect to be priced much higher.
Pros:
Nice fit
good sound
nice look

Cons:
Would love to see a wireless version
microphone volume could be a problem on a windy day
microphone is on the cord instead of being on the body of the headphones."
839,"I was expecting much better. The online reviews are generally good, but now I wonder about the validity of those reviews.

PROS: The headphones fold up nicely, and the cord is fabric-covered and tangle-resistant. The headphones have very little creaking when adjusted on your head. There's a fair amount of bass. The tension against the ears is comfortable.

CONS: Muddy sound. My wife and kids all tried the headphones too, and agreed the sound was pretty bad. The top strap of the headphones is poorly padded and gets uncomfortable quickly.

VERDICT: These headphones will make your favorite music sound terrible. Maybe okay for watching movies or TV on a laptop."
840,"My first impression when taking the headphones out of the box was that the quality seemed cheaper than I had anticipated. The original price for these was around $50, and I only paid $13 during a lightening deal. Given their original price, I expected them to be a great pair of headphones. All in all, I wouldn't recommend paying anything more than $20 for them.
Most importantly, the sound quality of these are pretty good (I'd give it a 4.6/5). It's nothing mindblowing, but around the same sound quality as a regular pair of skull candy earbuds. The sound quality doesn't disappoint, and is not a weakness in these headphones.
The quality of the plastic seems on the cheaper end (I'd give it a 3.5/5). Don't get me wrong, it doesn't feel like it would fall apart easily, but for a pair of headphones originally $50, I thought it'd feel more solid and not as light (in a negative way). The quality of the plastic is what makes it seem more like a $20 pair of headphones.
The comfort aspect of these headphones are also a downfall (I'd give it a 3/5). At first, they're just fine, not uncomfortable at all. Nothing superb, just an average pair of headphones. However, after wearing them for an hour they start to hurt my ears from hugging them for so long. It's not exactly a subtle pain, either, it bothers me enough that I have to take off the headphones and switch to earbuds. I would say I have an average size head, too, if not on the smaller side. There's no way to adjust the width of the headphones, so you can't do anything about them being too tight. This really is a pet peeve of mine since the only reason I bought headphones in the first place was the avoid the discomfort of wearing earbuds for too long.
In conclusion, the sound quality is pretty good, but the real downfalls are the quality of the plastic and the lack of comfort after wearing them for too long. If you're considering paying more than $20 for these ($30 at most), I'd recommend looking at other products first."
841,I ordered 2 of my sons a pair of these foldable headphones so that they would be able to watch movies while we are going places. When these headphones arrived I used them on the computer and I was so excited at the awesome sound quality that they provided. My oldest son has also been using them while gaming and they work perfectly for this also! They have crystal clear sound with no crackling background noise like other similarly priced headphones and the voice quality is just as clear. I am now waiting on a third pair for my youngest son and recommend these headphones by AILIHEN to anyone looking for a great pair of reasonably priced foldable headphones!
842,"EDIT AS OF MAY 25, 2017...

I have had two pairs of these headphones break in the past three months and I am not happy. The first pair I thought was my fault, since I dropped them. But I had suspicions about them no longer working after accidentally being dropped once from hip-height. So I ordered a second pair given the decent price... and they came pre-broken! (With the ""speakers"" inside of the earmuffs having come unglued and fallen out-of-place, causing tinny, quiet and poor sound quality.) I tried to fix them myself having had enough of this nonsense and not wanting to have to wait days or weeks to return them, and they completely fell apart the second I opened them up and tried gluing the speakers back in place. And I wasn't being rough. I've fixed broken headphones before and never had them just fall apart like this. Absolute cheap garbage!

They may be nice for a few days, but they stop working quickly and are absolutely not worth the price."
843,I purchased these headphones for my kids to use with their kindle. They are super lightweight and fold up nicely to fit in the pocket of my son's bookbag. The headphones themself have an adjustable head strap to fit a child's head or adult. The headphones cover the entire ear and are very soft and comfortable. They can also be used as noise cancelling headphones if you want to drown out some loud noise or talking. Great value for the money!
844,"Really nice sound for the price of these headphones. Reasonably comfortable. A great deal! I just wanted something that I could use occasionally with my tablet when I didn't want to disturb others. I was more interested in comfort than in sound quality. I was very pleasantly surprised when I received these. Not only were they relatively comfortable for prolonged wearing sessions, but they delivered far better sound than I was anticipating. Sure, they are not 'monitor' quality, but they give a very nice listening experience with adequate bass and highs."
845,"Ear buds cause me some discomfort after wearing them for a while so I decided to try these out to see if they worked any better. All in all, I am fairly pleased with them (but I wish the bass was better so I took 1 star away). They hold sound in very well, giving the people around me peace while I can hear my music loud enough to satisfy me and my ear that has partial hearing damage. I love how they fold up so I can just toss them in my bag at the end of the day and go, no having to rearrange my life to just carry them to and fro. I'm glad I didn't pay $50 for them because, as I said, I'd like more bass but it's a pretty good product when you get it on sale. I'd recommend them if you're on a budget."
846,First- these are super comfortable. They are very lightweight and the padding feels wonderful. They are very easy to unfold. They are perfect to pack in my son's backpack for fourth grade which they require him have headphones. He loves the color. The sound is also very good and it is great at working out noise around you. I would definitely buy these headphones again !
847,"Bought from amazon since it was on sale thinking it is Bluetooth enable headphones. Sounds very good and bass on these are wow. Looks elegant and child likes it. Keeping it despite not being Bluetooth.
Definitely a good buy and stocking stuffer."
848,"Terrible. One side literally stopped working a few weeks after I received it (didn't drop it, get wet, etc.). Had to continue twisting the wire around b/c didn't have time to order a new one before my vacation. Soon after the first side stopped working, the working side left would go in and out, pause music, turn volume up/down ,etc. if the wire was gently moved/touched either on purpose or by accident. Extremely disappointing."
849,"Great sound, wonderful fabric cord, adjustable-comfortable headphones. The cord contains a button for ""pause"", but be aware there is no control on the cord for volume. I did not reduce the star rating for the lack of the volume button as I think these headphones are a great value for the money! My son is in the sound engineering business and was impressed with this buy as well!"
850,"I have not had the pleasure of being able to listen to these for long at all because our 5 year old daughter has taken them and will not let us use them...Lol! One, they are her favorite color and two (her words), they fit perfect. She brings them along where ever we go along with her IPad so she can listen to her music or play her games without having to turn down her volume or disturbing other people.

What is cool is it does have a volume control on the cord. When I got the few seconds to wear them, they sounded great and fit very comfortable on my head. For the price of $20, you cannot beat the quality of these headphones! They truly are a great buy. Thank you so much #AILIHEN for making such a great product!!!"
851,"no instructions as to what the button on the cord is supposed to do. I had to rig it for headphones to work properly. Update, already broken from brittle cord and bad switch."
852,I just received these and tested them out on Pandora with my iPhone and the sound was really good. I was impressed with the quality of the sound and how stylish the headphones were. I got the blue color and they are super cute. I think this was a good buy and I’ll be trying them out with my laptop and other devices to ensure great sound quality all across the board.
853,"Some pros for these headphones is that they have an amazing quality sound for the price and are very comfortable for the ears (except if you wear studded earrings that poke at the back). The chord is very long and can help with manuverability. It also helps that the headphones fold up and become compact, especially if you have a lot of items you are carrying in your bag.

However there are some cons. I have had these headphones for about 6 months now but sadly, only one side of the headphones work. I mainly use them to listen to music as I'm on my way to my university and as I am walking on my way to and from class. Only one side working is probably due to their everyday use and the fact that I put them in my backpack often so the chord became messed up. I recommend these headphones for at home or for low energy activities where the chord is not stressed. I do not recommend getting these if you are constantly on the go and have to stuff them in your bag."
